,Project Number,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
24446,4188-19582,8750.0,7.92,9297.0
24447,4124-040,4200.0,1.05,1233.0
24448,4170-25696,87500.0,84.24,98884.0
24449,4630-100587,5814.0,14.54,17062.0
24450,4183-67443,4920.0,9.9,11621.0
24451,4548-32839,69916.0,49.94,58622.0
24452,4533-86262,3900.0,7.8,9156.0
24453,4283-27781,9810.0,6.54,7677.0
24454,4533-78989,4030.0,8.06,9461.0
24455,4611-49383,9063.0,10.07,11821.0
24456,4170-20100,4725.0,2.7,3169.0
24457,4170-19656,14175.0,8.1,9508.0
24458,4564-87508,1100.0,5.5,6456.0
24459,4161-26875,12250.0,7.05,8276.0
24460,4643-32011,6586.0,6.72,7888.0
24461,4281-62956,5488.0,7.98,9367.0
24462,4148-007,29000.0,8.4,9860.0
24463,4373-48815-GJ,4590.0,5.1,5987.0
24464,4629-62494-GJ,1980.0,6.6,7747.0
24465,4116-25413,33810.0,19.32,22679.0
24466,4493-27936,10500.0,11.27,13229.0
24467,4355-75575-GJ,1088.0,8.5,9980.0
24468,4362-67142,2310.0,3.51,4120.0
24469,4627-83169,4560.0,9.12,10705.0
24470,4116-76268,3060.0,5.1,5987.0
24471,4355-46577-GJ,4876.0,13.73,16122.0
24472,4533-85506,4500.0,9.0,10565.0
24473,4629-63372,1910.0,6.37,7471.0
24474,4355-87468,1863.0,9.32,10934.0
24475,4633-48283,9810.0,9.81,11515.0
24476,4243-28328,7920.0,5.28,6198.0
24477,4382-102009,1392.0,3.48,4085.0
24478,4533-70828,4500.0,7.5,8804.0
24479,4119-20444,8820.0,5.04,5916.0
24480,4548-100815,2592.0,6.48,7606.0
24481,4116-94652,26411.0,71.37,83777.0
24482,4564-25406,12075.0,6.9,8099.0
24483,4124-21132,12250.0,7.14,8381.0
24484,4643-26793,12250.0,7.76,9103.0
24485,4202-30271,20880.0,13.92,16340.0
24486,4116-88399,7440.0,14.88,17467.0
24487,4376-46272-GJ,3150.0,6.3,7395.0
24488,4354-96404,3078.0,5.13,6022.0
24489,4158-20929,19320.0,11.04,12959.0
24490,4160-68605,561.0,4.25,4990.0
24491,4202-68671,4368.0,5.46,6409.0
24492,4533-55372-GJ,4800.0,6.0,7043.0
24493,4355-79211-GJ,1991.0,12.6,14790.0
24494,4555-67627,4680.0,7.8,9156.0
24495,4630-42240,19980.0,19.98,23453.0
24496,4354-26191,12250.0,8.23,9655.0
24497,4493-56145,7344.0,9.18,10776.0
24498,4502-67292-GJ YY,1568.0,7.84,9203.0
24499,4502-54920-GJ,2160.0,7.5,8804.0
24500,4433-60120-GJ,1789.0,7.85,9212.0
24501,4548-79871,19800.0,49.5,58105.0
24502,4116-99637,3968.0,9.92,11644.0
24503,4116-35573,65000.0,50.0,58692.0
24504,4304-21709,24150.0,13.8,16199.0
24505,4369-19587,8750.0,10.8,12677.0
24506,4362-36111,57800.0,52.14,61204.0
24507,4643-29799,7980.0,7.44,8733.0
24508,4354-39894-GJ,9480.0,9.48,11128.0
24509,4154-70549-GJ,1298.0,10.46,12283.0
24510,4376-0313XX-Financin,0.0,6.54,7677.0
24511,4635-58914,16481.0,23.54,27637.0
24512,4354-64328-GJ,3136.0,4.48,5259.0
24513,4116-88422,6240.0,12.48,14650.0
24514,4340-77288,7554.0,10.79,12667.0
24515,4611-94226,11160.0,27.9,32750.0
24516,4609-47774,5670.0,5.67,6656.0
24517,4243-67086,5723.0,8.18,9596.0
24518,4548-100632,2808.0,7.02,8240.0
24519,4202-24155,13860.0,7.92,9297.0
24520,4502-69553-GJ,749.0,5.13,6022.0
24521,4154-62195-GJ,2435.0,11.12,13051.0
24522,4611-54454,7140.0,8.93,10477.0
24523,4116-31948,5950.0,4.25,4989.0
24524,4116-49504,6300.0,7.0,8217.0
24525,4643-29463,10500.0,8.64,10142.0
24526,4116-036,215400.0,47.94,56274.0
24527,4376-89898-GJ,1550.0,9.81,11515.0
24528,4154-95775,1632.0,12.75,14970.0
24529,4533-66871-GJ,17500.0,30.0,35215.0
24530,4493-26098,12250.0,8.16,9579.0
24531,4629-98383,2098.0,5.67,6656.0
24532,4473-44647-GJC,32160.0,33.12,38878.0
24533,4148-19655,16000.0,8.6,10095.0
24534,4611-29286,17213.0,11.48,13470.0
24535,4116-102816,1612.0,4.03,4731.0
24536,4354-69614,2744.0,3.92,4601.0
24537,4116-100615,3720.0,9.3,10917.0
24538,4493-31830,10500.0,8.58,10066.0
24539,4154-53314-GJ,4116.0,10.29,12079.0
24540,4354-31778,24480.0,16.32,19157.0
24541,4355-92791-GJ,1504.0,7.52,8828.0
24542,4604-30496,10500.0,9.4,11034.0
24543,4533-98098,3744.0,9.36,10987.0
24544,4354-46373,4590.0,4.59,5388.0
24545,4147-37142,17940.0,15.6,18312.0
24546,4158-108,15040.0,5.52,6480.0
24547,4493-52655,6975.0,8.0,9391.0
24548,4493-48702-GJ,3750.0,3.75,4402.0
24549,4362-37299,64436.0,74.06,86935.0
24550,4630-98770,4400.0,11.0,12912.0
24551,4362-34670,65360.0,69.3,81347.0
24552,4355-65953,2322.0,16.35,19192.0
24553,4533-76620-GJ,4524.0,7.54,8851.0
24554,4362-35784,9165.0,7.2,8452.0
24555,4202-22411,3360.0,1.92,2254.0
24556,4633-33118,17850.0,12.75,14966.0
24557,4376-91028-GJ,1439.0,7.19,8445.0
24558,4633-83161,5886.0,11.77,13818.0
24559,4355-77690-GJ,2027.0,10.14,11899.0
24560,4154-64532-GJ,1635.0,8.18,9596.0
24561,4493-27304,10500.0,11.04,12959.0
24562,4575-51447,113753.0,197.51,231839.0
24563,4180-012,16320.0,4.93,5785.0
24564,4493-26602,12180.0,6.96,8170.0
24565,4629-89566-GJYY,1664.0,8.32,9766.0
24566,4564-51201,7425.0,8.4,9860.0
24567,4154-77033,2027.0,10.14,11899.0
24568,4355-91011-GJ,1449.0,7.25,8504.0
24569,4635-54512,16072.0,20.09,23582.0
24570,4399-23842,9870.0,5.64,6620.0
24571,4629-96598,970.0,6.3,7395.0
24572,4116-38417,4000.0,4.0,4695.0
24573,4643-32748,4823.0,4.66,5464.0
24574,4590-24650,12040.0,6.88,8076.0
24575,4376-53319-GJ,4026.0,10.07,11815.0
24576,4502-98778,1352.0,3.38,3968.0
24577,4158-110,21200.0,6.88,8076.0
24578,4117-45367,7140.0,7.14,8381.0
24579,4635-29966,7848.0,5.23,6142.0
24580,4283-88964,4725.0,9.45,11093.0
24581,4135-022,20750.0,5.25,6163.0
24582,4464-22981,5635.0,3.22,3780.0
24583,4160-81609,1811.0,12.75,14970.0
24584,4504-39095,9000.0,9.0,10565.0
24585,4116-24090,6300.0,3.6,4226.0
24586,4355-62863-GJ,3041.0,10.14,11899.0
24587,4635-24880,12250.0,7.36,8639.0
24588,4355-88259,2747.0,13.73,16122.0
24589,4630-83373,4455.0,8.91,10459.0
24590,4629-96244-GJ,1223.0,7.84,9203.0
24591,4362-44081,7350.0,8.28,9719.0
24592,4507-19874,8505.0,4.86,5705.0
24593,4533-94578,4896.0,6.24,7325.0
24594,4235-29307,10500.0,7.44,8733.0
24595,4376-52679-GJ,3662.0,9.16,10748.0
24596,4147-026,19120.0,7.56,8874.0
24597,4362-35495,38610.0,29.7,34863.0
24598,4473-41541,4680.0,4.68,5494.0
24599,4136-006,20600.0,5.2,6104.0
24600,4376-94524,1725.0,8.63,10124.0
24601,4202-004,20552.0,5.17,6069.0
24602,4116-89612-GJXXJW,1488.0,7.44,8733.0
24603,4611-76709,6200.0,12.4,14556.0
24604,4376-28070,9810.0,6.54,7677.0
24605,4355-49012-GJ,3139.0,7.85,9212.0
24606,4548-83994,3915.0,7.83,9191.0
24607,4630-27399,14100.0,9.4,11034.0
24608,4323-72012,2500.0,12.5,14673.0
24609,4376-22851,10062.0,6.9,8099.0
24610,4362-33323,9870.0,7.05,8276.0
24611,4156-94734,1242.0,2.76,3240.0
24612,4362-58732,100250.0,195.0,228899.0
24613,4533-87141,2210.0,4.42,5188.0
24614,4548-92999,3456.0,8.64,10142.0
24615,4154-81555,1373.0,6.87,8061.0
24616,4211-51030,4950.0,5.6,6574.0
24617,4149-43314,7200.0,7.2,8452.0
24618,4170-26264,87500.0,50.16,58880.0
24619,4355-71818-GJ,1309.0,8.5,9980.0
24620,4633-77284,3350.0,6.7,7865.0
24621,4116-37363,4500.0,4.59,5388.0
24622,4464-34844,58500.0,45.0,52823.0
24623,4355-0360-Financing,0.0,5.04,5916.0
24624,4619-30599,44850.0,29.9,35098.0
24625,4590-102504,4446.0,11.12,13047.0
24626,4202-45253,4750.0,4.75,5576.0
24627,4355-53393-GJ,2878.0,7.19,8445.0
24628,4629-81600-XXJW-GJ,2052.0,10.26,12044.0
24629,4354-52654-GJ,5940.0,6.6,7747.0
24630,4635-31861,3360.0,2.4,2817.0
24631,4116-76341,4392.0,7.44,8733.0
24632,4160-89102,2196.0,15.04,17657.0
24633,4154-65835-GJ,1413.0,11.77,13818.0
24634,4243-41117,16560.0,16.56,19439.0
24635,4158-154,9675.0,3.87,4543.0
24636,4117-45139,7905.0,7.91,9279.0
24637,4643-32241,7299.0,6.86,8053.0
24638,4147-58670,7440.0,9.3,10917.0
24639,4548-25802,66701.0,38.12,44741.0
24640,4627-81059,2280.0,4.56,5353.0
24641,4421-31475,3675.0,2.5,2935.0
24642,4643-32613,9800.0,10.78,12654.0
24643,4611-23367,12075.0,6.9,8099.0
24644,4116-36114,56925.0,49.5,58105.0
24645,4635-34994,3900.0,3.0,3522.0
24646,4135-060,8400.0,2.8,3287.0
24647,4375-20954,87500.0,56.7,66557.0
24648,4564-32814,6300.0,4.5,5282.0
24649,4548-83405,3780.0,7.56,8874.0
24650,4180-20451,12250.0,8.46,9931.0
24651,4116-64330-GJ,7875.0,11.25,13206.0
24652,4376-58634-GJ,7341.0,14.95,17543.0
24653,4473-70676,2016.0,3.36,3944.0
24654,4533-50770-GJ,6300.0,7.0,8217.0
24655,4421-29012,2820.0,1.92,2254.0
24656,4376-65095-GJ,2354.0,11.77,13818.0
24657,4362-40563,12000.0,12.24,14368.0
24658,4355-87483-GJ,534.0,5.56,6525.0
24659,4473-80896,7725.0,9.45,11093.0
24660,4548-30325,38475.0,25.65,30109.0
24661,4124-063,10800.0,3.6,4226.0
24662,4533-76152,3060.0,5.7,6691.0
24663,4154-63255-GJ,2160.0,11.25,13206.0
24664,4354-72122,5586.0,10.5,12325.0
24665,4507-19863,22575.0,12.9,15143.0
24666,4355-82240-GJ-IRH,1148.0,8.83,10364.0
24667,4116-34038,4550.0,3.27,3838.0
24668,4611-65665,3570.0,5.1,5987.0
24669,4260-65118,5880.0,8.55,10036.0
24670,4533-98096,1872.0,4.68,5494.0
24671,4362-29135,75000.0,51.7,60688.0
24672,4376-26746,18060.0,10.32,12114.0
24673,4493-50638-GJ,4725.0,5.25,6163.0
24674,4355-84760-GJ,2142.0,10.71,12572.0
24675,4260-55306,6720.0,8.55,10036.0
24676,4618-24137,87500.0,78.0,91560.0
24677,4376-53072-GJ,3712.0,9.28,10893.0
24678,4564-51885,9900.0,11.0,12912.0
24679,4328-26912,43750.0,25.2,29581.0
24680,4251-002,14080.0,5.04,5916.0
24681,4533-76139,4836.0,8.06,9461.0
24682,4375-29301,75000.0,54.88,64420.0
24683,4362-38150,23240.0,23.24,27280.0
24684,4154-80131 GJ,1292.0,8.5,9980.0
24685,4247-40888,6480.0,6.48,7606.0
24686,4355-68477-GJ,2616.0,13.08,15354.0
24687,4643-31026,6210.0,6.0,7043.0
24688,4170-20090,8741.25,5.0,5863.0
24689,4355-0326-Financing,0.0,6.9,8099.0
24690,4354-60224,5508.0,6.89,8082.0
24691,4643-26790,12250.0,7.05,8276.0
24692,4604-56313,8064.0,10.26,12044.0
24693,4548-58157,98113.0,190.25,223323.0
24694,4373-25405,12250.0,7.99,9379.0
24695,4568-22883,6960.0,4.32,5071.0
24696,4355-89643-GJ,1504.0,7.52,8828.0
24697,4502-43365-GJ,3190.0,3.3,3874.0
24698,4116-88423,2325.0,4.65,5458.0
24699,4627-36520,7314.0,6.36,7466.0
24700,4255-45106-GJ,6000.0,6.0,7043.0
24701,4116-177,125000.0,26.21,30764.0
24702,4355-96535-GJ,2070.0,10.35,12149.0
24703,4502-44583-GJ,9360.0,9.36,10987.0
24704,4635-58151,12557.0,15.7,18425.0
24705,4643-33068,9800.0,7.11,8340.0
24706,4355-94030,1638.0,8.19,9614.0
24707,4116-94651,26960.0,73.2,85925.0
24708,4533-100063,102500.0,234.0,274679.0
24709,4564-55087,3300.0,4.2,4930.0
24710,4635-40898,7140.0,7.14,8381.0
24711,4158-137,11610.0,3.87,4543.0
24712,4376-96210-GJ,915.0,5.87,6885.0
24713,4116-100365,1000.0,2.5,2935.0
24714,4493-61128,2310.0,8.4,9860.0
24715,4629-0293-Financing,0.0,10.56,12396.0
24716,4154-54289,3401.0,8.5,9980.0
24717,4260-003,109710.0,36.57,42927.0
24718,4376-70137-GJ,1308.0,6.54,7677.0
24719,4281-70766,1368.0,2.28,2676.0
24720,4354-97922,6696.0,11.73,13763.0
24721,4154-62206-GJ,2158.0,7.19,8445.0
24722,4376-65723,1026.0,5.13,6022.0
24723,4502-35849,6786.0,5.22,6127.0
24724,4116-33806,69090.0,49.35,57929.0
24725,4147-43069,11100.0,11.1,13030.0
24726,4156-97436,2158.0,3.6,4222.0
24727,4149-99458,2772.0,6.93,8135.0
24728,4117-40175,7105.0,7.14,8381.0
24729,4147-52986,4392.0,4.88,5728.0
24730,4154-60561-GJ,1028.0,5.23,6142.0
24731,4376-46051,3900.0,7.8,9156.0
24732,4643-29466,5880.0,7.2,8452.0
24733,4116-66847-GJ,12383.0,17.98,21106.0
24734,4495-31824,3570.0,3.5,4108.0
24735,4156-011,22250.0,5.75,6750.0
24736,4243-22086,20034.0,11.45,13438.0
24737,4533-83957,5880.0,11.76,13804.0
24738,4333-006,112150.0,50.16,58880.0
24739,4117-42349,7140.0,7.14,8381.0
24740,4433-66239-GJ,1549.0,10.46,12283.0
24741,4355-78515-GJ,1601.0,11.12,13051.0
24742,4633-37147,10529.0,9.16,10748.0
24743,4355-79221,523.0,2.62,3071.0
24744,4154-84860-GJ-IRH,1694.0,11.45,13435.0
24745,4116-46147,3750.0,3.83,4490.0
24746,4533-87154,2340.0,4.68,5494.0
24747,4355-46195-GJ,3434.0,6.87,8061.0
24748,4564-26844,7508.0,4.29,5036.0
24749,4464-23585,16100.0,9.2,10799.0
24750,4354-96407,1518.0,3.42,4015.0
24751,4135-005,20750.0,5.25,6163.0
24752,4116-015,119500.0,31.5,36976.0
24753,4473-101154,18432.0,46.08,54091.0
24754,4373-77937,4410.0,6.3,7395.0
24755,4355-58369-GJ,2494.0,11.45,13435.0
24756,4594-86477,1568.0,7.84,9203.0
24757,4493-59702-GJ,1994.0,8.42,9878.0
24758,4243-48618-1,11772.0,11.77,13818.0
24759,4224-49506,6480.0,7.2,8452.0
24760,4323-25891,32760.0,18.72,21974.0
24761,4170-053,97600.0,24.4,28642.0
24762,4376-36874,5101.0,3.92,4606.0
24763,4260-26697,12200.0,7.02,8240.0
24764,4117-036,35000.0,10.0,11738.0
24765,4443-52951,10260.0,11.4,13382.0
24766,4170-22648,12250.0,9.0,10565.0
24767,4117-41452,4409.0,5.61,6585.0
24768,4376-0116-Financing,0.0,10.79,12667.0
24769,4533-38092,9000.0,9.0,10565.0
24770,4533-81855,4160.0,8.32,9766.0
24771,4564-57175-GJ,4704.0,5.88,6902.0
24772,4116-37593,10000.0,10.0,11738.0
24773,4250-97939,2835.0,5.36,6286.0
24774,4548-94650,2160.0,5.4,6339.0
24775,4550-72878,4176.0,6.96,8170.0
24776,4116-082,119600.0,23.92,28078.0
24777,4533-85743,3570.0,7.14,8381.0
24778,4247-39061,7685.0,7.69,9021.0
24779,4244-22433,26460.0,15.12,17748.0
24780,4119-21527,12250.0,7.62,8940.0
24781,4502-68115YY-GJ-IRH,1760.0,8.8,10330.0
24782,4116-202,15385.0,7.59,8909.0
24783,4116-69750,1488.0,2.48,2911.0
24784,4116-58840,8000.0,10.0,11738.0
24785,4116-76340,4209.0,7.02,8234.0
24786,4116-26137,42630.0,24.36,28595.0
24787,4493-30173,10500.0,8.0,9391.0
24788,4154-77062-GJ,1036.0,7.85,9212.0
24789,4548-28715,25800.0,17.2,20190.0
24790,4260-75451,4770.0,7.95,9332.0
24791,4604-29842,8085.0,5.39,6327.0
24792,4354-53586-GJ,6426.0,7.14,8381.0
24793,4355-72406-GJ,1814.0,14.18,16639.0
24794,4376-69135-GJ,1452.0,10.37,12173.0
24795,4281-21498,4830.0,3.68,4320.0
24796,4124-031,17760.0,4.44,5212.0
24797,4604-29686,9375.0,6.25,7337.0
24798,4533-35893,78500.0,78.0,91560.0
24799,4615-27808,35280.0,23.52,27609.0
24800,4355-50035-GJ,3120.0,7.8,9156.0
24801,4493-42597-GJ,8000.0,8.0,9391.0
24802,4473-41586,34320.0,34.32,40286.0
24803,4493-27433,10500.0,12.5,14673.0
24804,4135-055,6825.0,2.28,2670.0
24805,4158-20170,5635.0,3.22,3780.0
24806,4564-24874,3010.0,1.72,2019.0
24807,4502-58669-GJ,5376.0,6.72,7888.0
24808,4636-22973,22540.0,12.88,15119.0
24809,4547-43660,13800.0,13.8,16199.0
24810,4238-49429,8370.0,9.3,10917.0
24811,4160-87428,3036.0,15.18,17819.0
24812,4548-31116,75000.0,50.4,59162.0
24813,4158-011,21560.0,5.52,6480.0
24814,4439-32847,35343.0,25.25,29634.0
24815,4533-99542,3744.0,9.36,10987.0
24816,4354-73479,2975.0,6.16,7231.0
24817,4156-19566,41125.0,16.45,19310.0
24818,4116-62446,4270.0,6.1,7160.0
24819,4156-19628,41125.0,16.45,19310.0
24820,4564-32515,6300.0,4.5,5282.0
24821,4643-31743,2234.4,1.96,2301.0
24822,4375-20178,87500.0,57.12,67050.0
24823,4643-32745,7448.0,7.11,8340.0
24824,4211-001,20000.0,9.84,11551.0
24825,4533-38936,8000.0,8.0,9391.0
24826,4376-48255-GJ,6486.0,9.6,11269.0
24827,4247-53859-GJ,5376.0,6.72,7888.0
24828,4643-30285,10500.0,8.4,9860.0
24829,4124-19240,7350.0,4.2,4930.0
24830,4147-99578,8640.0,21.6,25355.0
24831,4611-47664,3575.0,3.58,4196.0
24832,4247-34620,9360.0,7.2,8452.0
24833,4247-84073,1280.0,2.56,3005.0
24834,4633-83792,2126.0,4.25,4990.0
24835,4158-097-1,16150.0,6.08,7131.0
24836,4473-73568,6426.0,10.71,12572.0
24837,4375-19173,125050.0,57.12,67050.0
24838,4635-53854,9408.0,11.76,13804.0
24839,4362-63826,5390.0,7.7,9039.0
24840,4362-64781,3465.0,4.95,5811.0
24841,4629-78776,1404.0,7.02,8240.0
24842,4433-61896-GJ,2368.0,11.12,13051.0
24843,4116-23443,12250.0,7.05,8276.0
24844,4548-62812,89056.0,197.64,231998.0
24845,4355-52001-GJ,1789.0,5.89,6909.0
24846,4611-49380,5738.0,6.38,7483.0
24847,4548-62805,83200.0,183.0,214813.0
24848,4211-43833,20160.0,20.16,23665.0
24849,4354-97300,2472.0,6.54,7677.0
24850,4355-93182-GJ,2224.0,11.12,13051.0
24851,4473-38005,9360.0,9.36,10987.0
24852,4160-53418,3234.0,8.09,9490.0
24853,4376-94884,1046.0,5.23,6142.0
24854,4376-67290,1700.0,8.5,9980.0
24855,4116-28706,12960.0,8.64,10142.0
24856,4521-55287,9900.0,12.38,14526.0
24857,4116-32992,8400.0,6.0,7043.0
24858,4548-31828,10500.0,7.52,8827.0
24859,4643-27507,9720.0,6.48,7606.0
24860,4502-0054-Financing,0.0,9.24,10846.0
24861,4116-101336,3120.0,7.8,9156.0
24862,4439-24248,3623.0,2.07,2430.0
24863,4301-43316,7840.0,7.84,9203.0
24864,4170-103,197990.0,79.0,92727.0
24865,4533-63120,4200.0,6.0,7043.0
24866,4629-50801-GJ,3500.0,8.75,10271.0
24867,4341-76460,5130.0,10.26,12044.0
24868,4627-76238,2565.0,4.28,5018.0
24869,4116-33714,19858.0,15.28,17930.0
24870,4643-28500,7920.0,5.28,6198.0
24871,4355-81141-GJ,1308.0,6.54,7677.0
24872,4355-89423-GJ,1342.0,8.83,10364.0
24873,4629-96250-GJ,1635.0,8.18,9596.0
24874,4147-008,15600.0,3.9,4578.0
24875,4362-65484,76674.0,200.1,234885.0
24876,4355-96328-GJ,1679.0,12.92,15160.0
24877,4156-69430,2657.0,3.8,4455.0
24878,4502-48818,6720.0,6.72,7888.0
24879,4355-76885,1962.0,9.81,11515.0
24880,4116-93256,1066679.24,2858.22,3355093.0
24881,4161-20825,12075.0,6.9,8099.0
24882,4208-008,23225.0,6.08,7131.0
24883,4376-55952-GJ,2453.0,8.18,9596.0
24884,4627-35727,8957.0,6.89,8088.0
24885,4354-22373,12250.0,8.55,10036.0
24886,4575-61197,102500.0,200.26,235073.0
24887,4493-29002,10500.0,13.5,15847.0
24888,4533-43508-GJ,10000.0,10.0,11738.0
24889,4283-50088,3618.0,4.02,4719.0
24890,4116-33992,9100.0,6.5,7630.0
24891,4183-29293,75000.0,51.98,61019.0
24892,4443-40496,12000.0,12.0,14086.0
24893,4594-61511,2066.0,6.89,8082.0
24894,4473-82630,7200.0,14.4,16903.0
24895,4355-0255-Financing,0.0,5.99,7025.0
24896,4156-101780,2243.0,4.49,5265.0
24897,4170-21010,10237.5,5.85,6867.0
24898,4627-51158-GJ,7425.0,8.25,9684.0
24899,4643-28413,10500.0,7.2,8452.0
24900,4116-163,125000.0,25.16,29528.0
24901,4355-73407-GJ,1978.0,15.7,18425.0
24902,4627-66506-GJ,6300.0,9.0,10565.0
24903,4355-96542-GJ,2346.0,11.73,13769.0
24904,4533-101109,10000.0,33.0,38737.0
24905,4116-30504,10500.0,7.05,8276.0
24906,4533-61194,5950.0,8.5,9978.0
24907,4493-30339,10500.0,8.0,9391.0
24908,4633-91536,3270.0,8.18,9596.0
24909,4376-89158-GJ,1831.0,9.16,10748.0
24910,4158-174,5670.0,2.52,2958.0
24911,4116-049,118800.0,26.4,30989.0
24912,4555-73399,4770.0,7.95,9332.0
24913,4154-54050,3035.0,10.46,12283.0
24914,4376-84332,1216.0,9.81,11515.0
24915,4260-19912,6720.0,3.84,4508.0
24916,4643-31521,5145.0,4.9,5752.0
24917,4243-56280,5494.0,7.85,9212.0
24918,4355-62541-GJ,2747.0,9.16,10748.0
24919,4116-46951,15500.0,15.81,18558.0
24920,4376-54919-GJ,2943.0,9.81,11515.0
24921,4154-86589-GJ,1486.0,10.46,12283.0
24922,4247-47475,14300.0,14.3,16786.0
24923,4629-48626-GJ,4044.0,13.25,15553.0
24924,4407-21108,12075.0,6.9,8099.0
24925,4550-101635,2920.0,7.3,8569.0
24926,4609-43380-GJ,6000.0,6.0,7043.0
24927,4568-31241,3308.0,2.21,2588.0
24928,4274-30678,49680.0,33.12,38878.0
24929,4443-35842,9282.0,7.14,8381.0
24930,4170-24086,12128.0,6.93,8135.0
24931,4243-25894,12075.0,6.9,8099.0
24932,4554-31383,10500.0,11.52,13523.0
24933,4362-65958,60021.0,150.06,176146.0
24934,4635-43941,19110.0,19.11,22432.0
24935,4502-72815,971.0,6.84,8029.0
24936,4362-67139,6738.0,9.72,11410.0
24937,4548-70739,3864.0,6.44,7560.0
24938,4643-30602,10500.0,11.76,13804.0
24939,4564-59232,8064.0,10.08,11832.0
24940,4522-22097,7245.0,4.14,4860.0
24941,4493-39268,3600.0,3.6,4226.0
24942,4355-60217,3237.0,10.79,12667.0
24943,4250-63080,3120.0,3.97,4654.0
24944,4375-22330,87500.0,55.93,65653.0
24945,4301-35162,18252.0,14.04,16481.0
24946,4355-84482-GJ,2709.0,13.55,15900.0
24947,4473-37361,6760.0,6.76,7935.0
24948,4202-21007,9870.0,5.64,6620.0
24949,4116-45987,5900.0,6.0,7043.0
24950,4533-78155,1530.0,3.06,3592.0
24951,4355-80047-GJ,2160.0,10.8,12677.0
24952,4250-24031,7560.0,4.32,5071.0
24953,4170-137,10800.0,3.6,4226.0
24954,4643-28419,10080.0,6.72,7888.0
24955,4493-32838,7189.0,6.5,7630.0
24956,4355-91337GJ,2391.0,16.38,19227.0
24957,4533-85986,6500.0,13.0,15260.0
24958,4362-32557,10024.0,7.36,8639.0
24959,4594-72016,2196.0,10.98,12889.0
24960,4627-59357,4928.0,6.16,7231.0
24961,4604-35576,8970.0,6.9,8099.0
24962,4116-88733,3510.0,7.02,8240.0
24963,4247-22715,5586.0,3.19,3747.0
24964,4443-101331,3224.0,8.06,9461.0
24965,4116-59470-GJ,3600.0,4.5,5282.0
24966,4376-42916-GJ,6300.0,6.3,7395.0
24967,4533-66628,3325.0,4.75,5576.0
24968,4375-23409,78032.5,44.59,52342.0
24969,4362-38592,14400.0,14.4,16903.0
24970,4119-49224,10800.0,12.0,14086.0
24971,4555-47770,8400.0,8.4,9860.0
24972,4158-016,14720.0,3.68,4320.0
24973,4355-59799,1766.0,5.89,6909.0
24974,4493-26230,12250.0,7.84,9203.0
24975,4493-29158,10500.0,10.32,12114.0
24976,4158-026,21560.0,5.52,6480.0
24977,4355-55805,2299.0,10.46,12283.0
24978,4533-102858,6032.0,15.08,17702.0
24979,4355-84367,1612.0,11.04,12959.0
24980,4548-32559,21546.0,15.39,18065.0
24981,4161-22700,9660.0,5.52,6480.0
24982,4147-39391,7078.0,7.08,8311.0
24983,4465-20931,7560.0,4.32,5071.0
24984,4629-62226-GJ,3600.0,12.0,14086.0
24985,4375-24128,17640.0,10.08,11832.0
24986,4154-67577-GJ,2354.0,11.77,13818.0
24987,4564-38953,5000.0,5.0,5869.0
24988,4643-31989,4732.0,3.38,3968.0
24989,4493-29549,10500.0,12.5,14673.0
24990,4260-79877,5300.0,10.6,12443.0
24991,4643-29260,7301.0,6.24,7325.0
24992,4170-131,14800.0,5.4,6339.0
24993,4362-35861,17550.0,13.78,16176.0
24994,4555-46648,4200.0,4.2,4930.0
24995,4533-72662,6864.0,11.44,13429.0
24996,4362-63929,66000.0,195.0,228899.0
24997,4116-44812,8500.0,8.67,10177.0
24998,4156-36504,12753.0,9.81,11515.0
24999,4376-36235,5382.0,4.14,4860.0
25000,4117-024,35000.0,10.0,11738.0
25001,4376-61643-GJ,1170.0,3.9,4578.0
25002,4643-28007,10500.0,7.2,8452.0
25003,4548-26009,33110.0,18.92,22209.0
25004,4147-83809,3750.0,7.5,8804.0
25005,4355-84374-GJ,883.0,5.89,6909.0
25006,4643-27833,8064.0,7.2,8452.0
25007,4373-36026,10920.0,8.4,9860.0
25008,4373-31985,9450.0,6.75,7923.0
25009,4170-24652,10080.0,5.76,6761.0
25010,4158-080,29840.0,8.28,9719.0
25011,4643-28985,10500.0,7.92,9297.0
25012,4116-20775,9450.0,5.4,6339.0
25013,4507-27488,8640.0,5.76,6761.0
25014,4116-29360,74025.0,49.35,57929.0
25015,4627-32141,8904.0,6.36,7466.0
25016,4116-20498,22540.0,12.88,15119.0
25017,4175-30943,9180.0,6.12,7184.0
25018,4170-38506,16928.0,14.72,17279.0
25019,4493-49129,2104.0,4.25,4989.0
25020,4355-65460-GJ,1785.0,11.45,13435.0
25021,4643-27541,9030.0,6.02,7067.0
25022,4211-22573,23520.0,13.44,15776.0
25023,4260-27862,2160.0,1.44,1690.0
25024,4548-77368,2240.0,4.48,5259.0
25025,4493-38480,12480.0,12.48,14650.0
25026,4376-78215,5723.0,8.18,9596.0
25027,4247-68089,5580.0,9.3,10917.0
25028,4247-64682,6384.0,9.12,10705.0
25029,4493-44086-GJ,6500.0,6.5,7630.0
25030,4135-32688,9800.0,7.0,8217.0
25031,4183-69464,3701.0,6.87,8061.0
25032,4161-007,6000.0,2.52,2958.0
25033,4260-102817,1908.0,4.77,5599.0
